Genus,Institution,Specimen,ep_02,ep_04,ep_06,ep_08,ep_10,ep_12
Alouatta,DU-LP-41,M10526-15499,0.0102,0.0271,0.0466,0.0663,0.0849,0.1028
Alouatta,DU-LP-41,M10526-15501,0.0136,0.0338,0.0542,0.0743,0.0933,0.1105
