Names,ep_02,ep_04,ep_06,ep_08,ep_10,ep_12
B1794delaunayM1_20000_smooth,0.008098,0.0227,0.03726,0.05126,0.06462,0.0769
B1794delaunayM2_10000_smooth,0.008513,0.0262,0.04627,0.06576,0.08449,0.1005
B1794delaunayM2_10000_smooth2.1,0.007523,0.0239,0.04335,0.06274,0.08125,0.09704
B1794delaunayM2_20000_smooth,0.01031,0.02911,0.04789,0.06606,0.08393,0.09953
B1794delaunayM2_20000_smooth2.1,0.00923,0.02718,0.04592,0.06407,0.08175,0.09727
B1794delaunayM3_10000_smooth,0.01,0.02875,0.04752,0.064,0.07831,0.09175
B1794delaunayM3_20000_smooth,0.0132,0.03381,0.05147,0.06635,0.08031,0.09316
B1845delaunayM2_10000_smooth,0.009359,0.02718,0.04625,0.06422,0.0804,0.09469
B1845delaunayM2_10000_smooth2.1,0.008119,0.02452,0.04291,0.06066,0.07674,0.0911
B1845delaunayM2_20000_smooth,0.01191,0.03139,0.04926,0.06605,0.08189,0.09561
B1845delaunayM2_20000_smooth2.1,0.01044,0.02898,0.0468,0.06365,0.07927,0.09316
B1902delaunayM2_10000_smooth,0.0112,0.03116,0.05168,0.07192,0.09048,0.1074
B1902delaunayM2_10000_smooth2.1,0.009468,0.02765,0.04752,0.06718,0.08612,0.1028
B1902delaunayM2_20000_smooth,0.01523,0.03735,0.05669,0.07516,0.0935,0.1088
B1902delaunayM2_20000_smooth2.1,0.01301,0.03384,0.05306,0.07112,0.08926,0.1051
B1904pt2delaunayM2_10000_smooth,0.01071,0.02902,0.04724,0.06376,0.07877,0.0922
B1904pt2delaunayM2_10000_smooth2.1,0.00913,0.02584,0.0432,0.05895,0.07322,0.08606
B1904pt2delaunayM2_20000_smooth,0.0129,0.03213,0.05031,0.06654,0.08146,0.09344
B1904pt2delaunayM2_20000_smooth2.1,0.01123,0.02931,0.04703,0.06266,0.07729,0.08872
B1904pt2delaunayM2_20000_smooth2.2,0.009497,0.02613,0.04282,0.05821,0.07167,0.08386
B1928delaunayM2_10000_smooth,0.01075,0.03156,0.05393,0.07482,0.09369,0.1095
B1928delaunayM2_10000_smooth2.1,0.009383,0.02864,0.05033,0.07103,0.08947,0.1052
B1928delaunayM2_20000_smooth,0.01306,0.03532,0.05741,0.07745,0.09499,0.1101
B1928delaunayM2_20000_smooth2.1,0.0116,0.03273,0.05447,0.07432,0.09206,0.1072
B1950pt2delaunayM2_10000_smooth,0.006578,0.01998,0.03571,0.05157,0.06662,0.07964
B1950pt2delaunayM2_10000_smooth2.1,0.005819,0.01839,0.03374,0.04944,0.06414,0.0771
B1950pt2delaunayM2_20000_smooth,0.008108,0.02227,0.0373,0.05234,0.06694,0.0793
B1950pt2delaunayM2_20000_smooth2.1,0.0072,0.02077,0.03576,0.05079,0.0651,0.07721
B2034delaunayM2_10000_smooth,0.005598,0.01761,0.03185,0.04617,0.05991,0.07238
B2034delaunayM2_10000_smoothpt2.1,0.005021,0.01635,0.03026,0.04449,0.05795,0.0708
B2034delaunayM2_20000_smooth,0.006828,0.01935,0.03271,0.04591,0.05829,0.0716
B2034delaunayM2_20000_smooth2.1,0.00615,0.01823,0.0316,0.04482,0.05729,0.07003
B2756delaunayM2_10000_smooth,0.006492,0.02076,0.03712,0.0529,0.06784,0.08095
B2756delaunayM2_10000_smoothpt2.1,0.006492,0.02076,0.03712,0.0529,0.06784,0.08095
B2756delaunayM2_20000_smooth,0.007181,0.02169,0.03748,0.05284,0.06706,0.07951
B2756delaunayM2_20000_smooth2.1,0.006636,0.02067,0.03634,0.05167,0.06574,0.07787
MRAC27841delaunayM2_10000_smooth,0.009652,0.02682,0.04468,0.06096,0.07536,0.08826
MRAC27841delaunayM2_10000_smooth2.1,0.008252,0.02396,0.04119,0.05724,0.07089,0.08325
MRAC27841delaunayM2_20000_smooth,0.01256,0.03172,0.04856,0.06457,0.07791,0.0901
MRAC27841delaunayM2_20000_smooth2.1,0.009674,0.02661,0.04298,0.05799,0.072,0.0837
MRAC83006M15M2_10000_smooth,0.005801,0.01811,0.03239,0.0461,0.05808,0.06781
MRAC83006M15M2_10000_smoothpt2.1,0.004651,0.01545,0.02887,0.04222,0.05405,0.06342
MRAC83006M15M2_20000_smooth,0.00717,0.0197,0.03314,0.04567,0.05617,0.06433
MRAC83006M15M2_20000_smooth2.1,0.006951,0.01948,0.03295,0.04552,0.05599,0.06413
MRAC83006M15M2_20000_smooth2.2,0.005874,0.01778,0.03108,0.04362,0.05411,0.06211
MRAC86044M15delaunayM2_10000_smooth,0.01158,0.03079,0.04968,0.06762,0.08395,0.09824
MRAC86044M15delaunayM2_10000_smooth2.1,0.009696,0.02716,0.04542,0.06284,0.07897,0.09316
MRAC86044M15delaunayM2_10000_smooth2.2,0.008574,0.02458,0.0423,0.05965,0.07555,0.08969
MRAC86044M15delaunayM2_20000_smooth,0.01655,0.03838,0.05582,0.07224,0.08734,0.1009
MRAC86044M15delaunayM2_20000_smooth2.1,0.01401,0.03455,0.05205,0.06832,0.08339,0.0968
MRAC91060M406M2_10000_smooth,0.01045,0.02948,0.04931,0.06746,0.08291,0.09639
MRAC91060M406M2_10000_smooth2.1,0.008668,0.026,0.04524,0.06327,0.07903,0.09302
MRAC91060M406M2_20000_smooth,0.01324,0.03259,0.05077,0.06776,0.08323,0.09626
MRAC91060M406M2_20000_smooth2.1,0.01108,0.02934,0.04751,0.06458,0.08056,0.09383
MRACCR22761delaunayM2_20000_smooth,0.01772,0.03829,0.05442,0.06922,0.08286,0.09621
MRACCR22761delaunayM2_20000_smooth2.1,0.01408,0.03306,0.04872,0.06323,0.07686,0.09018
MRACRG1942M2_10000_smooth,0.009357,0.02677,0.0439,0.05903,0.07241,0.08383
MRACRG1942M2_10000_smooth2.1,0.007793,0.02359,0.04017,0.05522,0.06866,0.08043
MRACRG1942M2_20000_smooth,0.01257,0.03035,0.04603,0.05976,0.07165,0.0822
MRACRG1942M2_20000_smooth2.1,0.01044,0.02741,0.04283,0.05661,0.06833,0.07888
MRACRG23958delaunayM2_10000_smooth,0.01394,0.03503,0.05541,0.07412,0.09021,0.105
MRACRG23958delaunayM2_10000_smooth2.1,0.01144,0.0307,0.05058,0.06857,0.08422,0.09827
MRACRG23958delaunayM2_20000_smooth,0.01933,0.04287,0.06289,0.0809,0.09817,0.114
MRACRG23958delaunayM2_20000_smooth2.1,0.01497,0.03642,0.05562,0.07315,0.08924,0.1035
MRACRG2489M2_10000_smooth,0.008489,0.02494,0.04219,0.058,0.07179,0.08329
MRACRG2489M2_10000_smooth2.1,0.0072,0.02231,0.03907,0.05489,0.06883,0.08032
MRACRG2489M2_20000_smooth,0.01302,0.0306,0.04543,0.05853,0.06974,0.07923
MRACRG2489M2_20000_smooth2.1,0.01083,0.02759,0.04277,0.05624,0.06771,0.07667
MRACRG26206delaunayM2_10000_smooth,0.01027,0.0265,0.04317,0.05895,0.07347,0.08666
MRACRG26206delaunayM2_10000_smooth2.1,0.008462,0.02328,0.03934,0.05492,0.06952,0.0826
MRACRG26206delaunayM2_20000_smooth,0.01506,0.03368,0.04915,0.06355,0.07754,0.09067
MRACRG26206delaunayM2_20000_smooth2.1,0.01262,0.03018,0.0455,0.06009,0.07414,0.08705
MRACRG29075M2_10000_smooth,0.009035,0.02463,0.041,0.05584,0.06895,0.08016
MRACRG29075M2_10000_smooth2.1,0.007371,0.02173,0.03763,0.05236,0.06538,0.07664
MRACRG29075M2_20000_smooth,0.01334,0.02976,0.04362,0.05532,0.06743,0.07887
MRACRG29075M2_20000_smooth2.1,0.01107,0.02677,0.04072,0.05274,0.06425,0.07578
MRACRG29089M2_10000_smooth,0.006858,0.01894,0.03142,0.04329,0.0541,0.0633
MRACRG29089M2_10000_smooth2.1,0.005661,0.01666,0.02878,0.04063,0.05153,0.06079
MRACRG29089M2_20000_smooth,0.009284,0.02256,0.0345,0.04519,0.05437,0.06276
MRACRG29089M2_20000_smooth2.1,0.009186,0.02236,0.03432,0.04501,0.05421,0.06257
MRACRG6043M2_10000_smooth,0.009619,0.02745,0.04617,0.06208,0.07486,0.08621
MRACRG6043M2_10000_smooth2.1,0.008081,0.02448,0.04244,0.05831,0.07139,0.08262
MRACRG6043M2_20000_smooth,0.01213,0.03079,0.04755,0.06144,0.07439,0.0876
MRACRG6043M2_20000_smooth2.1,0.01038,0.0282,0.04483,0.05886,0.07164,0.0844
MRACRG811delaunayM2_10000_smooth,0.01243,0.03149,0.05001,0.06738,0.084,0.09984
MRACRG811delaunayM2_10000_smooth2.1,0.01022,0.02747,0.04535,0.06228,0.07874,0.09394
MRACRG811delaunayM2_20000_smooth,0.01739,0.0395,0.05773,0.07532,0.09163,0.1078
MRACRG811delaunayM2_20000_smooth2.1,0.01462,0.03531,0.05317,0.07039,0.08652,0.102
MRACRG833delaunayM2_10000_smooth,0.01035,0.02835,0.04699,0.06412,0.07953,0.0931
MRACRG833delaunayM2_10000_smooth2.1,0.008724,0.02489,0.04293,0.06015,0.07554,0.08939
MRACRG833delaunayM2_10000_smooth2.2,0.00768,0.02253,0.03983,0.05668,0.07218,0.086
MRACRG833delaunayM2_20000_smooth,0.01456,0.03459,0.05234,0.06777,0.08149,0.09544
MRACRG833delaunayM2_20000_smooth2.1,0.01189,0.03045,0.04793,0.06367,0.0778,0.09097
MRACRG834delaunayM2_10000_smooth,0.01391,0.03649,0.05947,0.08038,0.09883,0.1141
MRACRG834delaunayM2_10000_smooth2.1,0.01157,0.03219,0.05435,0.07471,0.09244,0.1073
MRACRG834delaunayM2_20000_smooth,0.01837,0.0434,0.06447,0.08438,0.1022,0.1187
MRACRG834delaunayM2_20000_smooth2.1,0.01555,0.03912,0.0602,0.07959,0.09731,0.1128
MRACRG881delaunayM2_10000_smooth,0.01131,0.03,0.04896,0.06636,0.08206,0.0948
MRACRG881delaunayM2_10000_smooth2.1,0.009246,0.02616,0.04417,0.06109,0.07613,0.08878
MRACRG881delaunayM2_20000_smooth,0.01569,0.0369,0.05457,0.07015,0.08358,0.095
MRACRG881delaunayM2_20000_smooth2.1,0.01321,0.03306,0.05027,0.06611,0.07918,0.09037
