Genus,Institution,Specimen,ep_02,ep_04,ep_06,ep_08,ep_10,ep_12
Ateles,AMNH-M-71787,M783-663,0.01661,0.03261,0.05341,0.0752,0.0964,0.1171
Ateles,AMNH-M-76882,M785-665,0.01787,0.0313,0.05047,0.06994,0.08838,0.1054
Ateles,MCZ-31759,M797-677,0.01995,0.03743,0.05768,0.07678,0.09497,0.1127
Ateles,MCZ-34320,M791-671,0.01758,0.03151,0.04946,0.0691,0.08837,0.1072
Ateles,MCZ-5344,M793-673,0.02024,0.03382,0.05188,0.0708,0.08971,0.1079
Ateles,USNM-241384,M787-932,0.01612,0.02843,0.04567,0.06368,0.08152,0.09844
Ateles,USNM-406674,M788-668,0.02107,0.03616,0.0554,0.07548,0.0949,0.1135
Ateles,USNM-406675,M790-931,0.01868,0.03535,0.05536,0.0745,0.09338,0.1108
Ateles,USNM-336204,M795-675,0.01959,0.03088,0.04844,0.06767,0.08658,0.1045
Brachyteles,MN-Rio-106,M1213-1057,0.02012,0.03993,0.06347,0.08665,0.1098,0.1315
Brachyteles,MN-Rio-24104,M1207-1051,0.01439,0.03111,0.05099,0.07092,0.09,0.1075
Brachyteles,MN-Rio-24114,M1216-1060,0.01964,0.03896,0.06223,0.08556,0.1073,0.1276
Brachyteles,MN-Rio-2718,M1197-1042,0.01781,0.03649,0.06015,0.08484,0.1085,0.1297
Brachyteles,MN-Rio-30191,M1201-1045,0.01482,0.03136,0.05182,0.07302,0.09326,0.1122
Brachyteles,MN-Rio-526,M1204-1048,0.01611,0.03458,0.05666,0.07906,0.1005,0.1211
Brachyteles,MN-Rio-6699,M1210-1054,0.01984,0.04026,0.0635,0.08729,0.1106,0.1335
Brachyteles,MN-Rio-7724,M1222-1066,0.01784,0.03568,0.05756,0.07978,0.1013,0.1209
Brachyteles,MN-Rio-8513,M1219-1063,0.0183,0.03513,0.05585,0.07723,0.09843,0.1188
Cacajao,AMNH-M-73720,M799-679,0.01915,0.02854,0.04301,0.05912,0.076,0.09173
Cacajao,AMNH-M-76391,M801-681,0.02049,0.02991,0.04443,0.06021,0.07605,0.09202
Cacajao,AMNH-M-76648,M803-683,0.02034,0.02911,0.04305,0.05889,0.07497,0.09117
Cacajao,AMNH-M-78566,M809-689,0.02058,0.0291,0.04339,0.05995,0.07709,0.0939
Cacajao,AMNH-M-78569,M811-691,0.02038,0.02889,0.04331,0.05959,0.07633,0.09281
Cacajao,AMNH-M-98316,M805-685,0.02096,0.02819,0.0423,0.05909,0.07654,0.09383
Cacajao,AMNH-M-98397,M807-687,0.02539,0.03657,0.05265,0.0701,0.08691,0.1038
Cacajao,SBU-NCj01,M995-857,0.02227,0.02855,0.04135,0.05658,0.07291,0.08913
Cacajao,USNM-406423,M815-695,0.02583,0.03561,0.05068,0.06808,0.08448,0.1006
Cacajao,USNM-256215,M813-693,0.0231,0.02936,0.04311,0.05925,0.07624,0.09298
Callicebus,AMNH-M-211491,M817-697,0.03786,0.05281,0.07186,0.09073,0.1115,0.1314
Callicebus,AMNH-M-211494,M819-699,0.03454,0.04821,0.06646,0.08542,0.1033,0.1215
Callicebus,AMNH-M-40834,M821-701,0.02657,0.03777,0.05561,0.07463,0.09311,0.1113
Callicebus,AMNH-M-76861,M927-806,0.02577,0.038,0.05397,0.07198,0.09004,0.1063
Callicebus,AMNH-M-77300,M929-808,0.02875,0.04004,0.0568,0.07462,0.09248,0.1093
Callicebus,AMNH-M-78466,M931-810,0.02446,0.03637,0.05374,0.07252,0.09347,0.1118
Callicebus,AMNH-M-78473,M933-812,0.02502,0.03485,0.05086,0.06876,0.08824,0.1054
Callicebus,AMNH-M-78580,M935-814,0.03081,0.04423,0.06194,0.08185,0.1017,0.1196
Callicebus,AMNH-M-94979,M925-804,0.02449,0.03718,0.05448,0.07268,0.09083,0.1101
Cebus,AMNH-M-239863,M937-816,0.01855,0.02838,0.04361,0.06025,0.07691,0.09321
Cebus,AMNH-M-239864,M823-703,0.01609,0.02625,0.04157,0.05842,0.07535,0.09186
Cebus,AMNH-M-78501,M825-705,0.02149,0.02834,0.04332,0.06023,0.07722,0.09446
Cebus,USNM-291128,M836-715,0.01846,0.031,0.04817,0.06608,0.08327,0.09919
Cebus,USNM-291123,M838-717,0.01416,0.02755,0.04579,0.06472,0.08278,0.1002
Cebus,USNM-291133,M834-713,0.01565,0.02626,0.04182,0.0591,0.07669,0.09357
Cebus,USNM-296634,M827-707,0.01411,0.02552,0.04059,0.05683,0.07363,0.08936
Cebus,USNM-361019,M829-709,0.01603,0.0272,0.04349,0.06035,0.07681,0.09244
Cebus,USNM-461384,M831-711,0.01692,0.02962,0.04618,0.06306,0.07928,0.09576
Chiropotes,AMNH-M-461707,M842-721,0.02088,0.02882,0.04301,0.0587,0.07456,0.0904
Chiropotes,AMNH-M-545874,M844-723,0.02026,0.02914,0.04283,0.05864,0.07518,0.09132
Chiropotes,AMNH-M-95302,M846-725,0.02605,0.03776,0.05145,0.06663,0.08201,0.09797
Chiropotes,MCZ-31701,M848-727,0.02513,0.03451,0.04811,0.06364,0.07963,0.09625
Chiropotes,USNM-406583,M854-733,0.02612,0.0343,0.04749,0.06234,0.07774,0.09323
Chiropotes,USNM-406593,M856-735,0.02746,0.03499,0.04938,0.06538,0.08178,0.0973
Chiropotes,USNM-543357,M850-729,0.02096,0.02788,0.04117,0.05716,0.0737,0.0903
Chiropotes,USNM-338962,M852-731,0.02465,0.03318,0.04744,0.06319,0.08007,0.09688
Chiropotes,USNM-546263,M858-737,0.02277,0.03034,0.04377,0.05936,0.07524,0.09073
Chiropotes,USNM-549519,M861-740,0.02641,0.03328,0.04712,0.06338,0.08013,0.0964
Pithecia,AMNH-M-76412,M883-762,0.02222,0.02884,0.04126,0.0562,0.07231,0.08865
Pithecia,MCZ-30720,M885-764,0.02841,0.038,0.05227,0.06875,0.08563,0.1017
Pithecia,USNM-374744,M891-770,0.02926,0.03402,0.04611,0.06085,0.07702,0.09329
Pithecia,USNM-374745,M893-772,0.02709,0.03373,0.04615,0.06119,0.07748,0.09375
Pithecia,USNM-374746,M895-774,0.02426,0.02766,0.0382,0.05219,0.06757,0.08282
Pithecia,USNM-374756,M897-776,0.0254,0.03143,0.04316,0.05768,0.07334,0.08926
Pithecia,USNM-374759,M899-778,0.02559,0.02971,0.0417,0.05675,0.07309,0.08958
Pithecia,USNM-374767,M901-780,0.02486,0.02926,0.04195,0.05734,0.07387,0.09026
Pithecia,USNM-461919,M887-766,0.0237,0.03357,0.04864,0.06556,0.08294,0.1003
Pithecia,USNM-545891,M889-768,0.02562,0.03288,0.0464,0.06171,0.07879,0.09602
Saimiri,AMNH-M-38792,M903-782,0.02189,0.04009,0.06258,0.08539,0.1065,0.1257
Saimiri,AMNH-M-76003,M905-784,0.02092,0.03723,0.05836,0.07991,0.1021,0.1214
Saimiri,AMNH-M-76583,M907-786,0.02166,0.03846,0.05873,0.08006,0.09996,0.1186
Saimiri,AMNH-M-76586,M909-788,0.02266,0.04028,0.06266,0.08648,0.1087,0.129
Saimiri,AMNH-M-98272,M911-790,0.02241,0.04086,0.06299,0.08471,0.1046,0.1229
Saimiri,USNM-364497,M913-792,0.02123,0.04181,0.06305,0.08318,0.1021,0.1205
Saimiri,USNM-396265,M915-794,0.02064,0.03819,0.05977,0.08205,0.1035,0.123
Saimiri,USNM-518547,M917-796,0.01886,0.03619,0.05741,0.07955,0.1014,0.1223
Saimiri,USNM-545893,M919-798,0.01923,0.0391,0.06164,0.08422,0.1052,0.1248
Saimiri,USNM-546267,M921-800,0.02176,0.04272,0.065,0.08731,0.1092,0.1282
