Genus,Institution,Specimen,ep_02,ep_04,ep_06,ep_08,ep_10,ep_12
Alouatta,SBU-NAl13,M993-855,0.02124,0.0377,0.05732,0.07778,0.09793,0.117
Alouatta,USNM-284782,M748-928,0.02306,0.04062,0.06192,0.08339,0.1036,0.1226
Alouatta,USNM-123517,M750-630,0.02371,0.03977,0.05899,0.07861,0.0977,0.1161
Alouatta,USNM-171063,M746-929,0.01948,0.03746,0.058,0.0791,0.0995,0.1179
Alouatta,USNM-281658,M752-632,0.02737,0.04518,0.06589,0.08722,0.1074,0.126
Alouatta,USNM-281673,M754-634,0.02061,0.03955,0.06117,0.08304,0.1043,0.1233
Alouatta,USNM-281741,M756-636,0.02397,0.04129,0.0611,0.08106,0.1005,0.1195
Alouatta,USNM-281751,M758-638,0.01939,0.0369,0.05754,0.07822,0.0978,0.1159
Alouatta,USNM-281758,M760-640,0.02405,0.04364,0.06591,0.08719,0.1085,0.1294
Alouatta,USNM-290601,M749-930,0.0215,0.03889,0.05907,0.07899,0.09789,0.1163
Aotus,AMNH-M-147472,M766-646,0.02225,0.03264,0.05041,0.06993,0.08937,0.108
Aotus,AMNH-M-211460,M762-642,0.02349,0.03227,0.04997,0.06953,0.08864,0.1068
Aotus,AMNH-M-211465,M764-644,0.02212,0.03319,0.0516,0.07172,0.09172,0.1107
Aotus,AMNH-M-67246,M768-648,0.02305,0.0318,0.05007,0.07101,0.0918,0.1111
Aotus,AMNH-M-75996,M770-650,0.02379,0.03572,0.054,0.07378,0.09382,0.113
Aotus,AMNH-M-75999,M772-652,0.02629,0.03722,0.05546,0.07485,0.09457,0.1129
Aotus,AMNH-M-76002,M774-654,0.02186,0.03248,0.05023,0.06957,0.08868,0.1064
Aotus,USNM-364486,M780-660,0.02305,0.03352,0.05056,0.06944,0.08823,0.1061
Ateles,AMNH-M-67102,M782-946,0.01855,0.03487,0.05473,0.07455,0.09315,0.1121
