Genus,Institution,Specimen,ep_02,ep_04,ep_06,ep_08,ep_10,ep_12
Alouatta,USNM-284782,M7685-15511,0.02306,0.04062,0.06192,0.08339,0.1036,0.1226
Alouatta,USNM-281658,M7680-15496,0.02737,0.04518,0.06589,0.08722,0.1074,0.126
Alouatta,USNM-281673,M7681-15498,0.02061,0.03955,0.06117,0.08304,0.1043,0.1233
Alouatta,USNM-281741,M7682-15504,0.02397,0.04129,0.0611,0.08106,0.1005,0.1195
Alouatta,USNM-281758,M7684-15508,0.02405,0.04364,0.06591,0.08719,0.1085,0.1294
Pithecia,USNM-374744,M7687-15515,0.02926,0.03402,0.04611,0.06085,0.07702,0.09329
Pithecia,USNM-374745,M7688-15517,0.02709,0.03373,0.04615,0.06118,0.07747,0.09374
Pithecia,USNM-374746,M7689-15519,0.02426,0.02767,0.03819,0.05218,0.06755,0.08279
Pithecia,USNM-374756,M7690-15521,0.0254,0.03143,0.04315,0.05767,0.07333,0.08925
Pithecia,USNM-374759,M7691-15523,0.02559,0.02971,0.0417,0.05675,0.07309,0.08958
Pithecia,USNM-374767,M7692-15525,0.02485,0.02926,0.04194,0.05734,0.07386,0.09025
