Genus,Institution,Specimen,ep_02,ep_04,ep_06,ep_08,ep_10,ep_12
Alouatta,DU:EA:LP01,M8112-9824,0.008393,0.0247,0.04249,0.06035,0.0779,0.09461
Alouatta,DU:EA:LP01,M8112-9825,0.01146,0.02729,0.04415,0.06159,0.07932,0.09603
Alouatta,DU:EA:LP01,M8112-9828,0.01123,0.03072,0.04951,0.06715,0.08458,0.1008
Alouatta,DU:EA:LP01,M8112-9829,0.01461,0.0337,0.05155,0.06916,0.08753,0.1043
Alouatta,DU:EA:LP03,M26291-50959,0.01273,0.03414,0.05394,0.07104,0.0855,0.09899
Alouatta,DU:EA:LP03,M8115-9834,0.0112,0.03171,0.05223,0.07117,0.08762,0.1028
Alouatta,DU:EA:LP03,M8115-9835,0.01353,0.03308,0.05286,0.07132,0.08785,0.1036
Alouatta,DU:EA:LP03,M8115-9836,0.01282,0.03453,0.05494,0.07359,0.09137,0.1081
Alouatta,DU:EA:LP03,M8115-9837,0.01607,0.03669,0.05598,0.07477,0.0932,0.1099
Alouatta,DU:EA:LP06,M26293-50961,0.01349,0.03336,0.04964,0.06296,0.07677,0.09078
Alouatta,DU:EA:LP06,M8114-9830,0.01089,0.02996,0.0475,0.06319,0.07907,0.09356
Alouatta,DU:EA:LP06,M8114-9831,0.01428,0.03289,0.04967,0.06631,0.08125,0.09624
Alouatta,DU:EA:LP06,M8114-9832,0.01439,0.03807,0.05866,0.07694,0.09409,0.1096
Alouatta,DU:EA:LP06,M8114-9833,0.01873,0.04198,0.06178,0.0803,0.09772,0.1136
Alouatta,DU:EA:LP07,M26294-50962,0.01474,0.03752,0.05774,0.07462,0.08919,0.1037
Alouatta,DU:EA:LP07,M8117-9842,0.01273,0.03512,0.0564,0.07591,0.0931,0.1091
Alouatta,DU:EA:LP07,M8117-9843,0.01536,0.03726,0.05768,0.07671,0.09496,0.1131
Alouatta,DU:EA:LP07,M8117-9844,0.01368,0.03727,0.05964,0.0797,0.098,0.1153
Alouatta,DU:EA:LP07,M8117-9845,0.01768,0.04047,0.06148,0.08197,0.1017,0.1204
Alouatta,DU:EA:LP07,M8268-10176,0.01536,0.03726,0.05768,0.07671,0.09496,0.1131
Alouatta,DU:EA:LP07,M8268-10177,0.01273,0.03512,0.0564,0.07591,0.0931,0.1091
Alouatta,DU:EA:LP09,M26295-50963,0.008655,0.02589,0.0449,0.06371,0.08157,0.09874
Alouatta,DU:EA:LP09,M8118-9846,0.007654,0.0243,0.04375,0.06356,0.08285,0.1013
Alouatta,DU:EA:LP09,M8118-9847,0.009264,0.02468,0.04309,0.06268,0.08215,0.1006
Alouatta,DU:EA:LP09,M8118-9848,0.009693,0.02836,0.04815,0.06737,0.08593,0.1032
Alouatta,DU:EA:LP09,M8118-9849,0.0128,0.03083,0.04957,0.06848,0.08767,0.1055
Alouatta,DU:EA:LP09,M8267-10174,0.009264,0.02468,0.04309,0.06268,0.08215,0.1006
Alouatta,DU:EA:LP09,M8267-10175,0.007654,0.0243,0.04375,0.06356,0.08285,0.1013
Alouatta,DU:EA:LP12,M8119-9851,0.009477,0.02672,0.04371,0.05972,0.07487,0.08881
Alouatta,DU:EA:LP12,M8119-9852,0.01222,0.0289,0.04489,0.06063,0.07633,0.09089
Alouatta,DU:EA:LP12,M8119-9853,0.01067,0.02918,0.04653,0.06232,0.07733,0.09205
Alouatta,DU:EA:LP12,M8119-9854,0.01473,0.03268,0.04914,0.06547,0.08207,0.09723
Alouatta,DU:EA:LP13,M26296-50964,0.01172,0.03026,0.04704,0.06257,0.07639,0.0897
Alouatta,DU:EA:LP13,M8116-9838,0.00967,0.02734,0.04522,0.06278,0.08006,0.09678
Alouatta,DU:EA:LP13,M8116-9839,0.01305,0.0296,0.04638,0.06363,0.08143,0.09859
Alouatta,DU:EA:LP13,M8116-9840,0.01355,0.03629,0.05716,0.07595,0.09391,0.112
Alouatta,DU:EA:LP13,M8116-9841,0.01818,0.04025,0.06021,0.08122,0.1005,0.1177
Alouatta,DU:EA:LP16,M26297-50965,0.0089,0.02503,0.04134,0.05659,0.07092,0.08453
Alouatta,DU:EA:LP16,M8121-9860,0.009885,0.02778,0.04546,0.06269,0.07951,0.09527
Alouatta,DU:EA:LP16,M8121-9861,0.01265,0.02963,0.04591,0.06243,0.07868,0.09479
Alouatta,DU:EA:LP16,M8121-9862,0.01182,0.03234,0.05182,0.06979,0.08747,0.1036
Alouatta,DU:EA:LP16,M8121-9863,0.01526,0.03501,0.05331,0.07139,0.08898,0.1054
Alouatta,DU:EA:LP20,M26298-50966,0.01339,0.03237,0.04722,0.06163,0.07572,0.08868
Alouatta,DU:EA:LP20,M8128-9889,0.009387,0.02644,0.04388,0.06126,0.07857,0.09511
Alouatta,DU:EA:LP20,M8128-9890,0.01292,0.02944,0.0459,0.06342,0.08083,0.0974
Alouatta,DU:EA:LP20,M8128-9891,0.01082,0.02941,0.04732,0.06451,0.08119,0.09678
Alouatta,DU:EA:LP20,M8128-9892,0.01516,0.03293,0.04924,0.06644,0.08386,0.1003
Alouatta,DU:EA:LP23,M8127-9884,0.009294,0.02731,0.04639,0.06515,0.08314,0.0999
Alouatta,DU:EA:LP23,M8127-9885,0.0122,0.02938,0.04739,0.06552,0.08345,0.1001
Alouatta,DU:EA:LP23,M8127-9886,0.01114,0.03023,0.04891,0.06681,0.08398,0.1002
Alouatta,DU:EA:LP23,M8127-9887,0.0155,0.03366,0.05074,0.0679,0.08542,0.1025
Alouatta,DU:EA:LP25,M26299-50967,0.009368,0.02635,0.0435,0.05979,0.07536,0.08941
Alouatta,DU:EA:LP25,M8123-9868,0.008168,0.02468,0.04305,0.06164,0.07985,0.0969
Alouatta,DU:EA:LP25,M8123-9869,0.0111,0.02679,0.04386,0.06201,0.08054,0.09788
Alouatta,DU:EA:LP25,M8123-9870,0.01061,0.02934,0.04807,0.0665,0.08478,0.1025
Alouatta,DU:EA:LP25,M8123-9871,0.01454,0.0325,0.04987,0.06786,0.08661,0.1051
Alouatta,DU:EA:LP26,M26300-50968,0.01216,0.03222,0.05025,0.06497,0.0768,0.08668
Alouatta,DU:EA:LP26,M8125-9876,0.01017,0.02886,0.04758,0.06493,0.08137,0.09613
Alouatta,DU:EA:LP26,M8125-9877,0.01225,0.02959,0.04724,0.06443,0.08085,0.09598
Alouatta,DU:EA:LP26,M8125-9878,0.0135,0.03657,0.05899,0.07912,0.09654,0.1115
Alouatta,DU:EA:LP26,M8125-9879,0.01661,0.03891,0.06013,0.07934,0.09653,0.1124
Alouatta,DU:EA:LP30,M26301-50969,0.01103,0.0284,0.0432,0.05573,0.06778,0.07978
Alouatta,DU:EA:LP30,M8126-9880,0.009442,0.02644,0.04304,0.05899,0.07492,0.09059
Alouatta,DU:EA:LP30,M8126-9881,0.01308,0.02914,0.04459,0.06011,0.07617,0.0922
Alouatta,DU:EA:LP30,M8126-9882,0.01234,0.03276,0.05166,0.06897,0.08557,0.1029
Alouatta,DU:EA:LP30,M8126-9883,0.01665,0.03629,0.05386,0.07143,0.08958,0.1066
Alouatta,DU:EA:LP41,M10526-15499,0.01023,0.0271,0.04657,0.06634,0.08494,0.1028
Alouatta,DU:EA:LP41,M10526-15500,0.008352,0.02633,0.04685,0.06698,0.08575,0.1033
Alouatta,DU:EA:LP41,M10526-15501,0.01361,0.03375,0.0542,0.0743,0.09327,0.1105
Alouatta,DU:EA:LP41,M10526-15502,0.01087,0.03171,0.05281,0.07228,0.09136,0.1087
Alouatta,DU:LP:05,M26292-50960,0.01208,0.03129,0.04831,0.06346,0.07795,0.09274
Alouatta,DU:LP:05,M8120-9856,0.01079,0.03028,0.04904,0.06594,0.08186,0.09786
Alouatta,DU:LP:05,M8120-9857,0.01345,0.03208,0.04985,0.06695,0.08424,0.1006
Alouatta,DU:LP:05,M8120-9858,0.01389,0.03609,0.05622,0.07499,0.09356,0.1108
Alouatta,DU:LP:05,M8120-9859,0.01901,0.04023,0.05938,0.07861,0.098,0.1148
